month,day,year,date,prop_letter,ballot_subject,type_of_measure,description,pass_or_fail,vote_counts,percent_vote,percent_required_to_pass,measure_placed_on_ballot_by,pdf_available
November,15,1910,15-Nov-10,33,Board of Health -- Positions and Money,Charter Amendment,New positions and more money for the Board of Health.,F,"Yes: 9,471  /  No: 29,478",Yes: 24.3%  /  No: 75.7%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,34,Department of Electricity -- Salaries,Charter Amendment,Higher and more salaries in Department of Electricity.,F,"Yes: 8,257  /  No: 29,648",Yes: 21.7%  /  No: 78.3%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,35,Recorder's Salaries,Charter Amendment,Reducing piece rate and increasing salaries in Recorder's office.,P,"Yes: 21,118  /  No: 18,163",Yes: 53.7%  /  No: 46.3%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,36,Assessor's Office -- Positions and Salaries,Charter Amendment,New positions and higher salaries in Assessor's office.,F,"Yes: 19,324  /  No: 19,674",Yes: 49.5%  /  No: 50.5%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,37,Taxes For Public Schools,Charter Amendment,Adding to the portion of taxes for the public schools.,F,"Yes: 15,027  /  No: 23,567",Yes: 38.9%  /  No: 61.1%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,38,Minimum Wage For City Work,Charter Amendment,Making $3 minimum day's wage on all the city work.,P,"Yes: 20,972  /  No: 19,367",Yes: 51.9%  /  No: 48.1%,50%+1,Supervisors,noimage
November,15,1910,15-Nov-10,39,Police Patrol Drivers' Salaries,Charter Amendment,Raising the salaries of the police patrol drivers.,F,"Yes: 15,256  /  No: 24,681",Yes: 39.9%  /  No: 60.1%,50%+1,Supervisors,noimage
November,7,1911,07-Nov-11,,Tunnel Ordinance,Ordinance,Providing for construction of Stockton Street tunnel.,P,,,,Supervisors,noimage
March,28,1912,28-Mar-12,,City Hall Bonds,Bond Issue,Whether bonds are to be issued with which to build a new City Hall and to acquire land adjacent to it upon which will be constructed the San Francisco civic center.,P,"Yes: 45,129  /  No: 4,035",Yes: 91.7%  /  No: 8.3%,,Supervisors,noimage
March,29,1912,29-Mar-12,1,"Proposition to require the acquisition, construction, completion and equipment of a telephone system",Ordinance,"An ordinance determining and declaring that the public interest and necessity require the acquisition, construction, completion and equipment of a public utility, a telephone system, by the City and County of San Francisco; that the cost thereof, in addition to the other expenses of the City and County, will exceed the income and revenue provided for the said City and County and County for one year; and directing the Board of Public Works to procure through the City Engineer and to place on file with the Board of Supervisors, plans and estimates of the cost of original construction, completion and equipment of such public utility: and determining and declaring that the public interest and necessity require the acquisition by said City and County of San Francisco, of the telephone system of the Bay Cities Home Telephone Company, in said City and County of San Francisco: and determining and declaring that public interest and necessity require that any merger of the said Bay Cities Home Telephone Company, and  of the Pacific Telephone and Telegraph Company, be disapproved, rejected and defeated, and that said Bay Cities Home Telephone Company be not released from any contracts or other obligations to the said City and County.",P,"Yes: 21,168  /  No: 10,463",Yes: 66.9%  /  No: 33.1%,50%+1,,noimage
March,29,1912,29-Mar-12,2,"To incur bonded debt for the acquisition of the telephone system, works and property of the Bay Cities Home Telephone Company.",Ordinance,"An ordinance calling and providing for a special election to be held in the City and County of San Francisco on the day to be set by the Board of Election Commissioners, in conformity with Chapter III, of Article XI, of the Charter of the City and County of San Francisco, for the purpose of submitting to the voters of said City and County, a proposition, to-wit: A proposition to incur bonded debt of the City and County of San Francisco to the amount of $600,000.00 for the acquisition by said City and County of San Francisco of an existing public utility, to-wit: The telephone system, works and property of the Bay Cities Home Telephone Company, a corporation, to be owned and controlled by the City and County of San Francisco for supplying to said City and County and to the inhabitants thereof, a means of communication by telephone and telepathy between all inhabitants of the said City and County of San Francisco.",P,"Yes: 20,492  /  No: 10,759",Yes: 65.5%  /  No: 34.5%,50%+1,,noimage
November,5,1912,05-Nov-12,,Providing for the rejection of or the refusal to accept or use any gift or donation from Andrew Carnegie for library or other public purpose,Policy Declaration,Providing for the rejection of or the refusal to accept or use any gift or donation from Andrew Carnegie for library or other public purpose.,F,"Yes: 28,314  /  No: 57,613",Yes: 32.9%  /  No: 67.1%,50%+1,,noimage
December,10,1912,10-Dec-12,1,Establishing a Civic Center,Charter Amendment,"Board of Supervisors to acquire land bounded by Market Street, Golden Gate Avenue and Franklin Street, for the purpose of establishing a Civic Center. The Board may also authorize the erection of an auditorium by the Panama-Pacific International Exposition Company, or of an opera house, museum, or other structure, provided the ownership of such structure will be vested in the municipality.",P,"Yes: 50,210  /  No: 24,145",Yes: 67.5%  /  No: 32.5%,50%+1,Supervisors,December10_1912
December,10,1912,10-Dec-12,2,Panama-Pacific International Exposition Site,Charter Amendment,"Board of Supervisors to pass ordinances relating to use and closing of streets; the use, alteration, demolition and control of buildings; installation of water, gas, steam, sewerage and other pipes; use and control of electric light, power; maintenance and control of fire and police protection; any portion of the City and County of San Francisco which has been or may be selected as the site for the holding of the Panama-Pacific International Exposition.",P,"Yes: 47,962  /  No: 24,720",Yes: 65.9%  /  No: 34.1%,50%+1,Supervisors,December10_1912
